Fecha,Canal,Titulo,Nombre Capitulo,Descripcion,Info adicional,Horario
2025-02-24,9HD,9News,,"Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.",News | Australia | 2025 | NC,6:00PM - 7:00PM
2025-02-24,9HD,A Current Affair,,"Covers the realms of politics, crime, human rights, science, technology, celebrities, and entertainment, all investigated by a dedicated team.",Current Affairs | Australia | 2025 | NC,7:00PM - 7:30PM
2025-02-24,9HD,Married at First Sight,,Meet the Family Week. When the couples' family and friends get together some relationships are strengthened while others are tested to the limit.,Reality/Real-Life | Australia | 2025 | M,7:30PM - 9:00PM
2025-02-24,9HD,ACS: The Investigators,Stolen Lives,"No body, no witnesses, no DNA, so how did Detective Dennis Bray solve the most notorious kidnapping in Australia's history?",Crime | Australia | 2024 | M,9:00PM - 10:10PM
2025-02-24,9HD,Life and Murder of Nicole Brown Simpson,,"18-year-old Nicole Brown meets 30-year-old superstar OJ Simpson, embarking on a whirlwind romance. While she maintains an exterior of the perfect housewife and mother, she privately suffers OJ's abuse and control.",Documentary | USA | 2024 | M,10:10PM - 11:10PM
2025-02-24,9HD,9News Late,,Join the 9News Late team for all of the day's top stories from Australia and around the world.,News | Australia | 2025 | NC,11:10PM - 11:40PM
2025-02-24,9HD,First on Scene,,Experience the raw moments captured by video journalists and hear the stories behind the headlines from those first on scene.,Documentary | USA | 2022 | M,11:40PM - 12:05AM
2025-02-24,9Gem,Every Home Should Have One,,"Teddy works for a large advertising company. Given the seemingly impossible task of selling porridge, he decides to produce commercials which make the product seem sexy.",Comedy | UK | 1970 | M,12:30AM - 2:30AM
2025-02-24,9Gem,Rich and Strange,,"Believing that an unexpected inheritance will bring them happiness, a married couple instead finds their relationship strained to the breaking point.",Comedy | UK | 1931 | PG,2:30AM - 4:15AM
2025-02-24,9Gem,The Scarlet Blade,,This historical adventure is set during the English Civil War. When King Charles I is captured by Roundhead forces it is up to a band of locals loyal to the King to try and rescue him.,Adventure | UK | 1964 | PG,4:15AM - 6:00AM
2025-02-24,9Gem,Danger Man,Say It with Flowers,A security investigator travels worldwide.,Thriller | UK | 1961 | PG,6:00AM - 7:00AM
2025-02-24,9Gem,Creflo Dollar Ministries,How to Have Hope When It's Hard (1),,Religion | USA | 2025 | PG,7:00AM - 7:30AM
2025-02-24,9Gem,Skippy - The Bush Kangaroo,Maggie,"When Maggie Roderick becomes embroiled with smugglers, she turns to her boyfriend Jerry King for help.",Adventure | Australia | 1972 | G,7:30AM - 8:00AM
2025-02-24,9Gem,TV Shop - Home Shopping,Total Gym FIT,Home shopping program.,Shopping | USA | 2023 | G,8:00AM - 8:30AM
2025-02-24,9Gem,TV Shop - Home Shopping,InstaChill,Home shopping program.,Shopping | USA | 2023 | G,8:30AM - 9:00AM
2025-02-24,9Gem,TV Shop - Home Shopping,Transforma Ladders,Home shopping program.,Shopping | USA | 2023 | G,9:00AM - 9:30AM
2025-02-24,9Gem,New Style Direct,Pic Gold,Home shopping program.,Shopping | Australia | 2019 | G,9:30AM - 10:00AM
2025-02-24,9Gem,Adventures in Rainbow Country,Lake on Blue Mountain,Follows the adventures of a teenager named Billy Williams and his friend Pete Gawa in northern Ontario.,Children | Canada | 1970 | G,10:00AM - 10:30AM
2025-02-24,9Gem,Pointless,,"Hosted by Alexander Armstrong. Four teams of two contestants attempt to find correct answers to four rounds of general knowledge questions, with the winning team eligible to compete for the show's cash jackpot.",Game Show | UK | 2023 | PG,10:30AM - 11:30AM
2025-02-24,9Gem,My Favorite Martian,006-3/4,Tim gets a secret message and becomes a spy.,Comedy | USA | 1964 | G,11:30AM - 12:00PM
2025-02-24,9Gem,Days of Our Lives,,Maggie and Justin make a shocking discovery in Victor's will; Vivian puts pressure on Alex.,Soap Opera | USA | 2023 | M,12:00PM - 12:55PM
2025-02-24,9Gem,Days of Our Lives,,Chloe has a big decision to make; Sarah has conflicting feelings about the upcoming nuptials.,Soap Opera | USA | 2023 | M,12:55PM - 1:50PM
2025-02-24,9Gem,World's Greatest Transportation Marvels,"Ports, Canals and Bridges","Ports, Canals, and Bridges examines humanity's relationship with the sea, from Porto's mediaeval wine trade to the modern Port of Antwerp and Suez Canal.",Documentary | Australia | 2024 | PG,1:50PM - 3:00PM
2025-02-24,9Gem,Explore TV,Buenos Aires,"Join Trevor Cochrane as he heads on the journey of a lifetime across 2 continents. Starting in the South American City of Buenos Aires, he discovers the heart and soul of this amazing Argentinian city.",Travel | Australia | 2024 | G,3:00PM - 3:30PM
2025-02-24,9Gem,The Angry Silence,,A young factory worker decides to stand up against his workmates and fellow union members when they want to hold a wildcat strike.,Drama | UK | 1960 | PG,3:30PM - 5:30PM
2025-02-24,9Gem,Our Yorkshire Farm,,"June has arrived and, with summer upon them, the family are clearing their meadows as they have a month to get the farm ready for hay-making time. The family plan a nice birthday surprise for Violet.",Documentary | UK | 2021 | PG,5:30PM - 6:30PM
2025-02-24,9Gem,Antiques Roadshow,The Royal William Yard,"Fiona Bruce travels across various regions of the UK, appraising antiques brought in by local people. Some seemingly inexpensive antiques turn out to be worth an amazing amount.",Lifestyle | UK | 2016 | G,6:30PM - 7:30PM
2025-02-24,9Gem,Death in Paradise,The Secret of the Flame Tree,Florence finds herself emotionally involved in a case when a former schoolmate is found dead at the foot of a cliff.,Crime | UK | 2017 | M,7:30PM - 8:40PM
2025-02-24,9Gem,The Good Karma Hospital,,"AJ returns to the hospital keen to impress, Aisha and Lydia come to blows managing Jyoti's case, and Greg discovers a shocking secret that Tommy has been hiding.",Drama | UK | 2019 | M,8:40PM - 9:40PM
2025-02-24,9Gem,The Madame Blanc Mysteries,,"Jean and Dom help Caron solve a murder in a remote country mansion. A mysterious key could hold the solution, but what does it open? Meanwhile, love rolls into town for Gloria.",Drama | UK | 2022 | M,9:40PM - 10:40PM
2025-02-24,9Gem,The Closer,Slippin',"Brenda digs up clues to the apparent gang-related slaying of three youths, one of whom has a personal connection to Taylor.",Drama | USA | 2006 | M,10:40PM - 11:40PM
2025-02-24,9Gem,Only Fools and Horses...,Ashes to Ashes,"When Trigger's grandmother passes away, Del spots the chance to make a few bob.",Comedy | UK | 1982 | M,11:40PM - 12:20AM
2025-02-24,9Go!,Arrow,Betrayal,"A vicious criminal is released from prison and tries to regain his position as leader of the underworld. His first task is to take down his biggest threat, Arrow.",Action | USA | 2012 | M,12:35AM - 1:35AM
2025-02-24,9Go!,Arrow,The Odyssey,"Oliver is shot and turns to Felicity for help. While he hovers between life and death, Oliver recalls a daring escape attempt with Slade Wilson on the island.",Action | USA | 2012 | M,1:35AM - 2:30AM
2025-02-24,9Go!,Young Sheldon,A New Weather Girl and a Stay-at-Home Coddler,Mandy gets an exciting job opportunity; Sheldon worries that he's falling behind; Georgie takes his daughter to work.,Comedy | USA | 2022 | PG,2:30AM - 3:00AM
2025-02-24,9Go!,Beyblade X,X,"Amateur blader Bird Kazami travels to ""X City"" to become a pro. He's defeated by rookie Takumi Ishiyama. A mysterious blader Kamen X invites him to join a new team.",Animation | Japan | 2023 | PG,3:00AM - 3:30AM
2025-02-24,9Go!,Beyblade X,Multi-Colored Ambush,"Kurosu X aims to reach X Tower's top again. Bird's bey is lost, but a stranger lends him one. They enter the ""Pro Selection Tournament"" to become pros, facing skilled blader Multi Nanairo.",Animation | Japan | 2023 | PG,3:30AM - 4:00AM
2025-02-24,9Go!,Bakugan,Viva Corndogs/Hard Water,Dan becomes a viral joke after a corndog-themed video made without his permission leaks. Drago attempts to distract Dan from seeing the video while the others race to get it taken down.,Animation | Japan | 2023 | PG,4:00AM - 4:30AM
2025-02-24,9Go!,Transformers: Bumblebee: Cyberverse Adventures,The Judge/The End of the Universe I,"Follow the adventures of Bumblebee as he and Windblade try to recover his missing memories after damaging his memory chip. With the Decepticons after their friends, Bumblebee must find his missing memories to remember his mission on Earth.",Animation | USA | 2020 | PG,4:30AM - 4:50AM
2025-02-24,9Go!,Lego City Adventures,Buster Moves/To Cop or Not to Cop,It's a mad dash by Buster to retrieve his runaway moustache./ Grizzled and Rooky go undercover to root out the criminal mastermind behind a counterfeit pie operation.,Animation | USA | 2020 | PG,4:50AM - 5:10AM
2025-02-24,9Go!,Lego Friends: The Next Chapter,Olly's Quest For Fame,"Paisley is fatigued by Olly's obsession with their fame. Zac confronts Olly, It's clear that he's wrapped up in fame and can't see what he's doing.",Children | USA | 2023 | PG,5:10AM - 5:30AM
2025-02-24,9Go!,Pokemon the Series: Sun & Moon,"Alola, Kanto!",A celebratory Pokemon School class trip turns out to be a reunion no one will ever forget.,Animation | Japan | 2016 | G,5:30AM - 6:00AM
2025-02-24,9Go!,Hop,Super Hop/Brand New Hop,"Through a series of coincidences, Hop believes he has superpowers. / With Penny away, Hop is overwhelmed running the diner. Filipa makes him a robot to help out.",Animation | USA | 2024 | G,6:00AM - 6:30AM
2025-02-24,9Go!,Bubble's Hotel,Carried Away/Groom-O-Matic,Bubble and Nabi must help their kite-loving guest land safely before the Island winds sweep him out to sea. / When a guest-built robot goes on the fritz.,Animation | Canada | 2024 | G,6:30AM - 7:00AM
2025-02-24,9Go!,Bakugan,Octogan Wrong!/Eat Meat,"A young Aquatic Clan brawler and his Bakugan partner, Octogan, visit the Misfit Mod in need of an unlikely favour.",Animation | Japan | 2023 | PG,7:00AM - 7:30AM
2025-02-24,9Go!,The Actually Really Very Difficult Show,Wishart State School,Make sure your safety goggles are on tight because it's gonna get messy in this episode all about science!,Children | Australia | 2023 | C,7:30AM - 8:00AM
2025-02-24,9Go!,Beyblade Burst Quadstrike,Hurricane Winds! Twister Pandora!,"Training at the battle camp is not letting up, and some Bladers have more trouble following Wakiya's rules than others. Bel goes off script, declaring a rematch with his new rival Hyuga.",Animation | Japan | 2022 | PG,8:00AM - 8:30AM
2025-02-24,9Go!,Wild Manes,Glamp Out / The Ninnymare / Tilly on the Ball / Chill Out / Mane Makeover,"While serving drinks at her cart, Cocoa notices Candi acting suspiciously. Determined to uncover the mystery, Cocoa follows Candi discreetly.",Cartoon | Canada | 2024 | G,8:30AM - 9:00AM
2025-02-24,9Go!,Barbie: A Touch of Magic,There Might Be Dragons,"Barbie loses her job at the waterpark, but decides to end on a high note by directing a play with Skipper. Meanwhile, Blissa the cat gets wished into a dragon while Teresa babysits Chelsea and Stacie.",Cartoon | Canada | 2023 | G,9:00AM - 9:30AM
2025-02-24,9Go!,Yu-Gi-Oh! SEVENS,The Final Nail,It's Maximum Monster against Maximum Monster as Yuga and Nail fight for the fate of Rush Duels.,Animation | Japan | 2022 | PG,9:30AM - 10:00AM
2025-02-24,9Go!,Ninjago,The Wrath of Kalmaar/Long Live the King,The ninja embark on a rescue mission to an uncharted island; Nya leads the ninja on an undersea mission where they uncover a dangerous new foe.,Children | Denmark | 2021 | PG,10:00AM - 10:30AM
2025-02-24,9Go!,Pokemon Horizons: The Series,A Challenge from the Explorers,"While shopping in a seaside town, Liko and Roy receive a strange invitation to battle.",Animation | USA | 2023 | PG,10:30AM - 11:00AM
2025-02-24,9Go!,Transformers: Bumblebee: Cyberverse Adventures,The Perfect Deception (2),"The peace treaty between the Autobots and Decepticons is put to the test when a new threat arrives, bringing a war from another reality.",Animation | USA | 2021 | PG,11:00AM - 11:30AM
2025-02-24,9Go!,Bakugan,Octogan Wrong!/Eat Meat,"A young Aquatic Clan brawler and his Bakugan partner, Octogan, visit the Misfit Mod in need of an unlikely favour.",Animation | Japan | 2023 | PG,11:30AM - 12:00PM
2025-02-24,9Go!,Gossip Girl,The End of the Affair?,"Blair is ready to enjoy her bachelorette party ahead of her royal wedding, but other people have their own plans to make it a night to remember.",Drama | USA | 2011 | M,12:00PM - 1:00PM
2025-02-24,9Go!,Gossip Girl,Father and the Bride,"Blair tells Serena what really happened after her tragic accident with Chuck, and Nate uncovers information about the incident which points to foul play.",Drama | USA | 2011 | M,1:00PM - 2:00PM
2025-02-24,9Go!,Bewitched,"Red Light, Green Light",Samantha goes up against city hall to get a traffic light for Morning Glory Circle.,Sitcom | USA | 1964 | G,2:00PM - 2:30PM
2025-02-24,9Go!,I Dream of Jeannie,The World's Greatest Lover,"Feeling sorry for Roger, Jeannie makes all women who see him fall madly in love with him, including the girlfriend of a mobster.",Sitcom | USA | 1966 | G,2:30PM - 3:00PM
2025-02-24,9Go!,The Golden Girls,The Auction,"Based on Sophia's inside information that a famous artist is on death's doorstep, the ladies plan to spend their all on one of his paintings, and cash in when he checks out.",Sitcom | USA | 1988 | PG,3:00PM - 3:30PM
2025-02-24,9Go!,The Nanny,The In-Law Who Came Forever,"Aunt Freida decides to get back at Sylvia for not letting her sing at the wedding and buys her condo, leaving her with no place to go. So Sylvia and Morty move into the Sheffield mansion.",Sitcom | USA | 1998 | PG,3:30PM - 4:00PM
2025-02-24,9Go!,The Nanny,The Fran in the Mirror,"Maxwell's old college friend, Rodney, is in town, and asks Max to loan him $1 million. Before they close the deal, Max has to fly to London, and Rodney takes the chance to get the money from Fran. However, news arrives that Rodney is flat broke.",Sitcom | USA | 1998 | PG,4:00PM - 4:30PM
2025-02-24,9Go!,The Addams Family,Cousin Itt and the Vocational Counselor,"Morticia thinks marriage counselling would be the perfect career choice for Cousin Itt. To prove it to him, she and Gomez pretend to be a couple in trouble.",Comedy | USA | 1964 | G,4:30PM - 5:00PM
2025-02-24,9Go!,Bewitched,Which Witch is Which?,"When disguised as Samantha for a dress fitting, Endora meets an intriguing author and decides to try out the mortal lifestyle. Gladys Kravitz sees them together.",Sitcom | USA | 1964 | G,5:00PM - 5:30PM
2025-02-24,9Go!,I Dream of Jeannie,"My Master, the Author",Jeannie writes a book on childcare using Tony's name which then becomes a best seller.,Sitcom | USA | 1966 | G,5:30PM - 6:00PM
2025-02-24,9Go!,The Golden Girls,Blind Date,"Blanche's dating slump has led her to date a shallow, insensitive snob who both Dorothy and Rose think is beneath her.",Sitcom | USA | 1988 | PG,6:00PM - 6:30PM
2025-02-24,9Go!,The Nanny,The Yummy Mummy,"After Fran undergoes a sonogram, the doctor delivers some exciting news to the proud parents-to-be; Fran's upset when Brighton goes on a tour of Ivy League universities and denies her request to accompany him.",Sitcom | USA | 1998 | PG,6:30PM - 7:00PM
2025-02-24,9Go!,The Nanny,California Here We Come (1),"Maxwell is offered to turn one of his failed plays into a movie, and tells Fran they might be moving to California. However, Fran is afraid the news is going to devastate her mother.",Sitcom | USA | 1998 | PG,7:00PM - 7:30PM
2025-02-24,9Go!,Seinfeld,The Race,"Kramer gets ready for his new job as Santa Claus at Coleman's department store, with Mickey as his elf.",Sitcom | USA | 1994 | PG,7:30PM - 8:00PM
2025-02-24,9Go!,Seinfeld,The Scofflaw,"George meets an old friend who's spent the last few months undergoing chemotherapy that everyone knew about except him, while Kramer calls a litterbug a ""pig"" near a cop who's on a quest to catch a long-time parking ticket scofflaw.",Sitcom | USA | 1994 | PG,8:00PM - 8:30PM
2025-02-24,9Go!,King Arthur: Legend of the Sword,,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. Once he pulls the sword from the stone, he is forced to acknowledge his true legacy.",Drama | USA | 2017 | M,8:30PM - 11:00PM
2025-02-24,9Go!,Seinfeld,The Race,"Kramer gets ready for his new job as Santa Claus at Coleman's department store, with Mickey as his elf.",Sitcom | USA | 1994 | PG,11:00PM - 11:30PM
2025-02-24,9Go!,Seinfeld,The Scofflaw,"George meets an old friend who's spent the last few months undergoing chemotherapy that everyone knew about except him, while Kramer calls a litterbug a ""pig"" near a cop who's on a quest to catch a long-time parking ticket scofflaw.",Sitcom | USA | 1994 | PG,11:30PM - 12:00AM
2025-02-24,9Life,Barnwood Builders,Learning By Doing,"Mark Bowe and his crew salvage antique barns and cabins, reusing the wood to create stunning modern homes. His crew are devoted to salvaging, and will stop at nothing to give old structures new life.",Reality/Real-Life | USA | 2024 | G,12:00AM - 1:00AM
2025-02-24,9Life,Zombie House Flipping,Dallas: Carriage,Looks can be deceiving. This Derek special is set in a posh neighborhood on a treelined street and from the outside it doesn't look like your typical Zombie.,Lifestyle | USA | 2024 | PG,1:00AM - 2:00AM
2025-02-24,9Life,Postcards,,Guest presenter Yvie Jones finds New York inspired pizza in Thornbury. Madeline experiences small town charm in the street of Birregurra. Shane discovers hidden gems in Keilor. And Steve embraces fun activities in the Bayside.,Travel | Australia | 2025 | PG,2:00AM - 2:30AM
2025-02-24,9Life,Getaway,Scenic - Eclipse #1,"David Reyne is in Norway discovering the epic scenery, magnificent fjords, and picture perfect towns this Scandinavian masterpiece is famous for.",Travel | Australia | 2019 | PG,2:30AM - 3:00AM
2025-02-24,9Life,Beachfront Bargain Hunt,The Keys to Unlocking a Deal,"A Texas couple that love fishing look for a place to escape their busy lives. After falling in love with the great fishing in the Florida Keys, they hope to find a dream beach home.",Reality/Real-Life | USA | 2021 | G,3:00AM - 3:30AM
2025-02-24,9Life,Beachfront Bargain Hunt,Life Change in the Florida Keys,A Colorado bachelor headed to the sparkling waters of the Florida Keys to pursue his dream job must navigate through the local market to find a deal on a beachside oasis.,Reality/Real-Life | USA | 2021 | G,3:30AM - 4:00AM
2025-02-24,9Life,House Hunters International,Leaving Vancouver for Work-Life Balance in Dublin,A Vancouver family in search of work-life balance gets an offer they can't refuse in Dublin.,Lifestyle | USA | 2024 | G,4:00AM - 4:30AM
2025-02-24,9Life,House Hunters International,"Finally in San Jose del Cabo, Mexico, After All These Years","After spending half of their marriage living apart, a couple leaves their hectic jobs and moves to Mexico. With less income, he wants a more budget-conscious life.",Lifestyle | USA | 2024 | G,4:30AM - 5:00AM
2025-02-24,9Life,Fixer to Fabulous,Family Farmhouse Restoration,"A couple inherits a home that's been in their family for many years, and now they want to turn it into a place for future generations to enjoy.",Reality/Real-Life | USA | 2023 | G,5:00AM - 6:00AM
2025-02-24,9Life,Nate & Jeremiah Save My House,Connecting a Family,Brandy and Steve are novices to renovation and the projects they've attempted have failed. Watch as Nate and Jeremiah help them create a home where they connect better as a family and create memories.,Lifestyle | USA | 2020 | PG,6:00AM - 7:00AM
2025-02-24,9Life,House Hunters International,Counting On London,Newly engaged San Francisco accountants see their job transfer as a chance to live it up before settling down in London.,Lifestyle | USA | 2022 | G,7:00AM - 7:30AM
2025-02-24,9Life,Fixer Upper,Austin Couple Finds Waco Charm,"Matt and Samantha Hardy look to move from Austin to Waco, Texas, and purchase their first house together.",Lifestyle | USA | 2017 | PG,7:30AM - 8:30AM
2025-02-24,9Life,No Demo Reno,Tudor is Cuter,"After getting married, a couple bought their beautiful Tudor home, started a business, had a baby and now another is on the way. Jenn looks to heighten their Tudor vibe and create a cohesive, cozy space.",Reality/Real-Life | USA | 2023 | G,8:30AM - 9:30AM
2025-02-24,9Life,Unsellable Houses,Two-Bedroom Dilemma,Siblings struggling to sell their sister's home need Lyndsay and Leslie's expertise. The twins redefine the dated two-bedroom rambler into a modern three-bedroom farmhouse with a deck.,Reality/Real-Life | USA | 2020 | G,9:30AM - 10:30AM
2025-02-24,9Life,Postcards,,Guest presenter Yvie Jones finds New York inspired pizza in Thornbury. Madeline experiences small town charm in the street of Birregurra. Shane discovers hidden gems in Keilor. And Steve embraces fun activities in the Bayside.,Travel | Australia | 2025 | PG,10:30AM - 11:00AM
2025-02-24,9Life,House Hunters,New Chapter in Connecticut,A newly single woman starts a new chapter in her life and searches for a home in Connecticut.,Lifestyle | USA | 2022 | G,11:00AM - 11:30AM
